,index,forecast_sales,country,stockCode
1,2012-01-31,8.849713899194253,Cyprus,21733
2,2012-02-29,-0.00020030804511961264,Cyprus,21733
3,2012-03-31,0.00018493614072845332,Cyprus,21733
4,2012-04-30,0.0002060601610720525,Cyprus,21733
5,2012-05-31,0.0003545070224717506,Cyprus,21733
0,2011-12-31,6.375142949438726,Cyprus,21841
1,2012-01-31,-4.182691377652148e-05,Cyprus,21841
2,2012-02-29,-3.300697189556612e-05,Cyprus,21841
3,2012-03-31,-3.20234299601152e-05,Cyprus,21841
4,2012-04-30,-3.153854950577184e-05,Cyprus,21841
5,2012-05-31,-2.0283978547031012e-05,Cyprus,21841
0,2011-12-31,7.500072986296676,Cyprus,84580
1,2012-01-31,-1.4112202656346717e-05,Cyprus,84580
2,2012-02-29,-1.416020634592563e-05,Cyprus,84580
3,2012-03-31,-1.583172259900234e-05,Cyprus,84580
4,2012-04-30,-1.822169815890451e-05,Cyprus,84580
5,2012-05-31,-1.7155452823436335e-05,Cyprus,84580
0,2011-12-31,26.550128885737173,Cyprus,85123A
1,2012-01-31,17.69998155930704,Cyprus,85123A
2,2012-02-29,11.799922407074211,Cyprus,85123A
3,2012-03-31,-5.055905883466494e-05,Cyprus,85123A
4,2012-04-30,-5.208821579927303e-05,Cyprus,85123A
5,2012-05-31,-1.7614981402402918e-06,Cyprus,85123A
0,2011-12-31,7.650012106294497,Denmark,21559
1,2012-01-31,-3.4801799344563733e-06,Denmark,21559
2,2012-02-29,3.904821649136636e-06,Denmark,21559
3,2012-03-31,8.410314437767852e-06,Denmark,21559
4,2012-04-30,1.400518014094132e-05,Denmark,21559
5,2012-05-31,1.3766050416919029e-05,Denmark,21559
0,2012-01-31,80.326793701703,EIRE,20679
1,2012-02-29,35.666234409366645,EIRE,20679
2,2012-03-31,26.71987021226028,EIRE,20679
3,2012-04-30,8.922612142453083,EIRE,20679
4,2012-05-31,71.40408097335526,EIRE,20679
5,2012-06-30,0.02722515750831178,EIRE,20679
0,2012-01-31,6.549701033654841,EIRE,20685
1,2012-02-29,-0.10897686290226005,EIRE,20685
2,2012-03-31,56.740366558253584,EIRE,20685
3,2012-04-30,-0.034643806568389834,EIRE,20685
4,2012-05-31,22.930100806178515,EIRE,20685
5,2012-06-30,22.38076964392533,EIRE,20685
0,2012-01-31,-8.212774409499142,EIRE,20749
1,2012-02-29,0.19490383563644542,EIRE,20749
2,2012-03-31,48.35313594571473,EIRE,20749
3,2012-04-30,1.1117228369260683,EIRE,20749
4,2012-05-31,25.42000751900104,EIRE,20749
5,2012-06-30,32.178636764039744,EIRE,20749
0,2012-01-31,38.133665229889885,EIRE,20750
1,2012-02-29,-0.007424252923311059,EIRE,20750
2,2012-03-31,23.826055178740823,EIRE,20750
3,2012-04-30,15.909224970538954,EIRE,20750
4,2012-05-31,7.848890788532916,EIRE,20750
5,2012-06-30,75.95081754677145,EIRE,20750
0,2012-01-31,0.8492218943138106,EIRE,20914
1,2012-02-29,-7.482922468367633,EIRE,20914
2,2012-03-31,10.706768556403688,EIRE,20914
3,2012-04-30,37.727391246764135,EIRE,20914
4,2012-05-31,11.671969835876734,EIRE,20914
5,2012-06-30,38.69429771400064,EIRE,20914
0,2012-01-31,6.30000610903938,EIRE,21155
1,2012-02-29,6.299999417946193,EIRE,21155
2,2012-03-31,7.650003103340607,EIRE,21155
3,2012-04-30,7.650000996617094,EIRE,21155
4,2012-05-31,6.299993282495384,EIRE,21155
5,2012-06-30,-8.69658501656545e-07,EIRE,21155
0,2012-01-31,15.600978283259012,EIRE,21156
1,2012-02-29,7.805860929354806,EIRE,21156
2,2012-03-31,7.802155199894353,EIRE,21156
3,2012-04-30,31.19698027046244,EIRE,21156
4,2012-05-31,0.0027898744725618485,EIRE,21156
5,2012-06-30,7.803296798098273,EIRE,21156
0,2012-01-31,8.932514768347673,EIRE,21162
1,2012-02-29,9.27246045066102,EIRE,21162
2,2012-03-31,0.9125062877740295,EIRE,21162
3,2012-04-30,1.2526358266243847,EIRE,21162
4,2012-05-31,1.5926880576092601,EIRE,21162
5,2012-06-30,1.932652986414374,EIRE,21162
0,2012-01-31,-20.768972214139065,EIRE,21164
1,2012-02-29,-4.822221005627425,EIRE,21164
2,2012-03-31,17.02030769767007,EIRE,21164
3,2012-04-30,0.5122432828723001,EIRE,21164
4,2012-05-31,-15.99324446325103,EIRE,21164
5,2012-06-30,-5.949178908819162,EIRE,21164
0,2011-12-31,8.69921619869075,EIRE,21172
1,2012-01-31,-0.00016612239879432167,EIRE,21172
2,2012-02-29,0.0002038358095113324,EIRE,21172
3,2012-03-31,0.0003915003374013182,EIRE,21172
4,2012-04-30,0.00028764086770838304,EIRE,21172
5,2012-05-31,26.100169707746666,EIRE,21172
0,2012-01-31,25.048495560854942,EIRE,21181
1,2012-02-29,12.592727149147155,EIRE,21181
2,2012-03-31,25.059702353073018,EIRE,21181
3,2012-04-30,-0.05143888226874793,EIRE,21181
4,2012-05-31,25.270681356579473,EIRE,21181
5,2012-06-30,-0.06597330572427751,EIRE,21181
0,2012-01-31,1.712305748751449,EIRE,21210
1,2012-02-29,2.182754983537107,EIRE,21210
2,2012-03-31,2.6532140389232914,EIRE,21210
3,2012-04-30,-5.57632690124858,EIRE,21210
4,2012-05-31,3.5941181066915933,EIRE,21210
5,2012-06-30,12.764596943647378,EIRE,21210
0,2012-01-31,-3.070300840652397,EIRE,21212
1,2012-02-29,4.3045016601448545,EIRE,21212
2,2012-03-31,38.079179693224695,EIRE,21212
3,2012-04-30,12.453897637247284,EIRE,21212
4,2012-05-31,39.628604920915166,EIRE,21212
5,2012-06-30,40.40336848072122,EIRE,21212
0,2011-12-31,-19.833900113238702,EIRE,21231
1,2012-01-31,-26.004438523485703,EIRE,21231
2,2012-02-29,-24.67564795663111,EIRE,21231
3,2012-03-31,-15.8466144820787,EIRE,21231
4,2012-04-30,-22.017589768937484,EIRE,21231
5,2012-05-31,-5.688760085235757,EIRE,21231
0,2011-12-31,-10.675353372498604,EIRE,21232
1,2012-01-31,-9.345157270860957,EIRE,21232
2,2012-02-29,-0.5136983901598464,EIRE,21232
3,2012-03-31,-14.182315504000494,EIRE,21232
4,2012-04-30,2.1479214167962337,EIRE,21232
5,2012-05-31,33.47960425908183,EIRE,21232
0,2012-01-31,-13.601131097809937,EIRE,21257
1,2012-02-29,19.076133619614524,EIRE,21257
2,2012-03-31,4.072363293727364,EIRE,21257
3,2012-04-30,20.898944743686187,EIRE,21257
4,2012-05-31,-2.0757045286026354,EIRE,21257
5,2012-06-30,14.72153202412699,EIRE,21257
0,2012-01-31,0.013567470574912477,EIRE,21259
1,2012-02-29,23.794614062335008,EIRE,21259
2,2012-03-31,11.89430063410922,EIRE,21259
3,2012-04-30,0.008760283868891605,EIRE,21259
4,2012-05-31,11.922211362146044,EIRE,21259
5,2012-06-30,29.71058708317335,EIRE,21259
0,2012-01-31,6.375005770120731,EIRE,21408
1,2012-02-29,4.5811371567339165e-06,EIRE,21408
2,2012-03-31,7.682104287809466e-06,EIRE,21408
3,2012-04-30,-1.3422054753853274e-05,EIRE,21408
4,2012-05-31,7.421172359300954e-06,EIRE,21408
5,2012-06-30,8.77539434274155e-06,EIRE,21408
0,2011-12-31,41.24632103171158,EIRE,21430
1,2012-01-31,-0.0005090703168022515,EIRE,21430
2,2012-02-29,0.0004884421172466347,EIRE,21430
3,2012-03-31,22.502802573520345,EIRE,21430
4,2012-04-30,7.501057205743738,EIRE,21430
5,2012-05-31,7.500814862154946,EIRE,21430
0,2012-01-31,11.28962276478183,EIRE,21469
1,2012-02-29,33.85005461523413,EIRE,21469
2,2012-03-31,11.280425808207948,EIRE,21469
3,2012-04-30,22.496782032138523,EIRE,21469
4,2012-05-31,44.87495401163674,EIRE,21469
5,2012-06-30,11.235292144476926,EIRE,21469
0,2011-12-31,37.846047606995455,EIRE,21479
1,2012-01-31,8.769138202650215,EIRE,21479
2,2012-02-29,17.192255640803552,EIRE,21479
3,2012-03-31,10.615363729191067,EIRE,21479
4,2012-04-30,11.538447188152713,EIRE,21479
5,2012-05-31,12.461553482554395,EIRE,21479
0,2011-12-31,-28.198510026438065,EIRE,21484
1,2012-01-31,-18.84908707072916,EIRE,21484
2,2012-02-29,-37.097923081111254,EIRE,21484
3,2012-03-31,-34.64747654835105,EIRE,21484
4,2012-04-30,-18.397973119780083,EIRE,21484
5,2012-05-31,-29.747339519571,EIRE,21484
0,2011-12-31,-36.40305656262179,EIRE,21485
1,2012-01-31,-24.34480557320782,EIRE,21485
2,2012-02-29,-71.70849903405602,EIRE,21485
3,2012-03-31,-67.13411219136103,EIRE,21485
4,2012-04-30,-54.969313121228595,EIRE,21485
5,2012-05-31,-57.81742877830572,EIRE,21485
0,2012-01-31,20.619588546657297,EIRE,21494
1,2012-02-29,5.301388845791788,EIRE,21494
2,2012-03-31,5.283096042319344,EIRE,21494
3,2012-04-30,5.264958548613385,EIRE,21494
4,2012-05-31,5.246552361699535,EIRE,21494
5,2012-06-30,5.2285496490101675,EIRE,21494
0,2011-12-31,2.5200755399457972,EIRE,21519
1,2012-01-31,5.040061874845762,EIRE,21519
2,2012-02-29,6.157087718516863e-05,EIRE,21519
3,2012-03-31,5.040053681159739,EIRE,21519
4,2012-04-30,10.080034868414467,EIRE,21519
5,2012-05-31,5.040004011681734,EIRE,21519
0,2012-01-31,29.75281087760832,EIRE,21523
1,2012-02-29,39.24252461200239,EIRE,21523
2,2012-03-31,46.733360554972734,EIRE,21523
3,2012-04-30,30.42363715575291,EIRE,21523
4,2012-05-31,159.42291817750237,EIRE,21523
5,2012-06-30,7.952622476387496,EIRE,21523
0,2012-01-31,50.311779463904344,EIRE,21524
1,2012-02-29,11.76535674670481,EIRE,21524
2,2012-03-31,96.97548892959968,EIRE,21524
3,2012-04-30,71.67343925375869,EIRE,21524
4,2012-05-31,72.62388478990232,EIRE,21524
5,2012-06-30,26.87882481945477,EIRE,21524
0,2012-01-31,7.4250015274020145,EIRE,21534
1,2012-02-29,0.00013466089342983878,EIRE,21534
2,2012-03-31,0.0001978226768279967,EIRE,21534
3,2012-04-30,0.00010501028505327525,EIRE,21534
4,2012-05-31,14.850176034229296,EIRE,21534
5,2012-06-30,7.425102987149867,EIRE,21534
0,2011-12-31,10.95531888480211,EIRE,21535
1,2012-01-31,-4.104552115765571,EIRE,21535
2,2012-02-29,3.7853214180566273,EIRE,21535
3,2012-03-31,19.32510911584709,EIRE,21535
4,2012-04-30,4.265304786948308,EIRE,21535
5,2012-05-31,19.80524494635354,EIRE,21535
0,2012-01-31,0.000699434711558311,EIRE,21537
1,2012-02-29,6.13761279897318e-05,EIRE,21537
2,2012-03-31,-0.00045731371681689836,EIRE,21537
3,2012-04-30,-0.0008867984599714163,EIRE,21537
4,2012-05-31,-0.0009829057753272252,EIRE,21537
5,2012-06-30,8.497865079695943,EIRE,21537
0,2011-12-31,11.249951331757538,EIRE,21615
1,2012-01-31,2.0443637136047244e-05,EIRE,21615
2,2012-02-29,1.990198581713898e-05,EIRE,21615
3,2012-03-31,2.2841132584883184e-05,EIRE,21615
4,2012-04-30,2.2941732952475036e-05,EIRE,21615
5,2012-05-31,2.315839518773899e-05,EIRE,21615
0,2011-12-31,22.471868202516823,EIRE,21619
1,2012-01-31,11.054466979919008,EIRE,21619
2,2012-02-29,10.887357233979507,EIRE,21619
3,2012-03-31,10.720112530211914,EIRE,21619
4,2012-04-30,10.552893469652133,EIRE,21619
5,2012-05-31,10.385558252156219,EIRE,21619
0,2012-01-31,7.500197644591429,EIRE,21672
1,2012-02-29,15.000144796241209,EIRE,21672
2,2012-03-31,14.99985017798512,EIRE,21672
3,2012-04-30,-0.00010503033307074361,EIRE,21672
4,2012-05-31,14.999899425970586,EIRE,21672
5,2012-06-30,15.000242409246411,EIRE,21672
0,2011-12-31,5.100991604205329,EIRE,21704
1,2012-01-31,0.0002065813162364094,EIRE,21704
2,2012-02-29,5.099853087941475,EIRE,21704
3,2012-03-31,-0.00041726707200417934,EIRE,21704
4,2012-04-30,10.199698397933462,EIRE,21704
5,2012-05-31,10.199630482491356,EIRE,21704
0,2012-01-31,43.62047347195798,EIRE,21733
1,2012-02-29,44.35980754779978,EIRE,21733
2,2012-03-31,0.025375213940741048,EIRE,21733
3,2012-04-30,0.08146140432956628,EIRE,21733
4,2012-05-31,0.09334309297791776,EIRE,21733
5,2012-06-30,-0.026149592301614177,EIRE,21733
0,2011-12-31,9.900000755572531,EIRE,21770
1,2012-01-31,14.849997578868592,EIRE,21770
2,2012-02-29,4.9499972271432995,EIRE,21770
3,2012-03-31,19.800004253905364,EIRE,21770
4,2012-04-30,-7.033266781419911e-06,EIRE,21770
5,2012-05-31,14.85000225280181,EIRE,21770
0,2012-01-31,5.099955624222936,EIRE,21790
1,2012-02-29,15.300003705796643,EIRE,21790
2,2012-03-31,35.69997805773514,EIRE,21790
3,2012-04-30,22.949971203713282,EIRE,21790
4,2012-05-31,25.499902208371534,EIRE,21790
5,2012-06-30,25.49994503026643,EIRE,21790
0,2012-01-31,20.70286939026206,EIRE,21791
1,2012-02-29,35.06487814673258,EIRE,21791
2,2012-03-31,34.42672772707431,EIRE,21791
3,2012-04-30,22.538601662533296,EIRE,21791
4,2012-05-31,33.15070950525261,EIRE,21791
5,2012-06-30,25.012558108316103,EIRE,21791
0,2011-12-31,7.5000074330354325,EIRE,21871
1,2012-01-31,1.6832230188335018e-05,EIRE,21871
2,2012-02-29,7.50001390674933,EIRE,21871
3,2012-03-31,7.500012382489249,EIRE,21871
4,2012-04-30,7.50000788520446,EIRE,21871
5,2012-05-31,7.500003972115308,EIRE,21871
0,2011-12-31,67.50018082629538,EIRE,21888
1,2012-01-31,-1.5757483151190854e-05,EIRE,21888
2,2012-02-29,30.000323464947396,EIRE,21888
3,2012-03-31,7.5001996827983035,EIRE,21888
4,2012-04-30,7.500170183531186,EIRE,21888
5,2012-05-31,37.499451142534184,EIRE,21888
0,2011-12-31,15.000102659674333,EIRE,21892
1,2012-01-31,0.00011470038432825902,EIRE,21892
2,2012-02-29,0.0001697795417427983,EIRE,21892
3,2012-03-31,7.500514915547974,EIRE,21892
4,2012-04-30,-4.202109096240747e-06,EIRE,21892
5,2012-05-31,7.499571221540782,EIRE,21892
0,2011-12-31,0.6538675977445934,EIRE,21903
1,2012-01-31,-5.198934709007606,EIRE,21903
2,2012-02-29,-4.751902962378395,EIRE,21903
3,2012-03-31,20.89527853384429,EIRE,21903
4,2012-04-30,21.34228780039042,EIRE,21903
5,2012-05-31,21.78948984639169,EIRE,21903
0,2012-01-31,-0.0003308902545100523,EIRE,21912
1,2012-02-29,7.499629549131818,EIRE,21912
2,2012-03-31,14.999563726828741,EIRE,21912
3,2012-04-30,7.499688267613472,EIRE,21912
4,2012-05-31,59.99973441855023,EIRE,21912
5,2012-06-30,-0.00035876917258548247,EIRE,21912
0,2011-12-31,15.119995634265411,EIRE,21918
1,2012-01-31,-6.295814406787059e-05,EIRE,21918
2,2012-02-29,5.039887245532574,EIRE,21918
3,2012-03-31,5.039944109796611,EIRE,21918
4,2012-04-30,5.039953160013135,EIRE,21918
5,2012-05-31,6.299884360968091,EIRE,21918
0,2011-12-31,9.749790873645654,EIRE,21929
1,2012-01-31,-0.00029218484761450725,EIRE,21929
2,2012-02-29,2.92472434444194,EIRE,21929
3,2012-03-31,19.49970338077282,EIRE,21929
4,2012-04-30,9.749701964122456,EIRE,21929
5,2012-05-31,-0.0002894249705214236,EIRE,21929
0,2011-12-31,16.026432435585004,EIRE,21992
1,2012-01-31,19.305926572855444,EIRE,21992
2,2012-02-29,6.610420047630427,EIRE,21992
3,2012-03-31,2.764930701958864,EIRE,21992
4,2012-04-30,3.344428365939426,EIRE,21992
5,2012-05-31,12.773940492787553,EIRE,21992
0,2011-12-31,-10.422031702086034,EIRE,22079
1,2012-01-31,-9.284455668337547,EIRE,22079
2,2012-02-29,0.10246445626920675,EIRE,22079
3,2012-03-31,42.489889568774565,EIRE,22079
4,2012-04-30,-5.872736926859686,EIRE,22079
5,2012-05-31,-8.859749584244065,EIRE,22079
0,2011-12-31,-1.6822699466867643,EIRE,22082
1,2012-01-31,-32.55811758937723,EIRE,22082
2,2012-02-29,-22.18418338582066,EIRE,22082
3,2012-03-31,-20.060252036212557,EIRE,22082
4,2012-04-30,-26.186231195114175,EIRE,22082
5,2012-05-31,-28.187219863760525,EIRE,22082
0,2012-01-31,8.849905730521108,EIRE,22083
1,2012-02-29,17.699967024898204,EIRE,22083
2,2012-03-31,-7.275193017264314e-05,EIRE,22083
3,2012-04-30,17.69986042752162,EIRE,22083
4,2012-05-31,26.549918396178192,EIRE,22083
5,2012-06-30,-9.530106458477405e-05,EIRE,22083
0,2011-12-31,45.91249866130115,EIRE,22086
1,2012-01-31,27.059634009126306,EIRE,22086
2,2012-02-29,25.906956484065688,EIRE,22086
3,2012-03-31,24.753952489572313,EIRE,22086
4,2012-04-30,23.601162867135965,EIRE,22086
5,2012-05-31,22.44826460634103,EIRE,22086
0,2012-01-31,-15.086098397071586,EIRE,22107
1,2012-02-29,-13.887923138420577,EIRE,22107
2,2012-03-31,-12.689771612360728,EIRE,22107
3,2012-04-30,-11.491573928087313,EIRE,22107
4,2012-05-31,-10.293375829508696,EIRE,22107
5,2012-06-30,-9.095120902424862,EIRE,22107
0,2011-12-31,28.313887001235663,EIRE,22109
1,2012-01-31,13.313839035016368,EIRE,22109
2,2012-02-29,13.313879143208457,EIRE,22109
3,2012-03-31,13.313991336003912,EIRE,22109
4,2012-04-30,13.314105662620777,EIRE,22109
5,2012-05-31,13.314251652586012,EIRE,22109
0,2012-01-31,29.504526698881286,EIRE,22110
1,2012-02-29,35.713086861548554,EIRE,22110
2,2012-03-31,21.22137388354515,EIRE,22110
3,2012-04-30,20.52979861463338,EIRE,22110
4,2012-05-31,19.83809197467722,EIRE,22110
5,2012-06-30,19.146496246548793,EIRE,22110
0,2011-12-31,-73.12119340984697,EIRE,22111
1,2012-01-31,-94.81565586363024,EIRE,22111
2,2012-02-29,-101.67202582924628,EIRE,22111
3,2012-03-31,-108.52592602783875,EIRE,22111
4,2012-04-30,-93.10579614965187,EIRE,22111
5,2012-05-31,-92.53099837063887,EIRE,22111
0,2012-01-31,-7.635669632577446e-05,EIRE,22112
1,2012-02-29,42.07263598332777,EIRE,22112
2,2012-03-31,7.422579223406341,EIRE,22112
3,2012-04-30,-0.003888568903420264,EIRE,22112
4,2012-05-31,-0.006782393341190129,EIRE,22112
5,2012-06-30,7.415649844610087,EIRE,22112
0,2012-01-31,-57.4465076892903,EIRE,22114
1,2012-02-29,-47.906190234875766,EIRE,22114
2,2012-03-31,-69.96701475730957,EIRE,22114
3,2012-04-30,-64.37447231276121,EIRE,22114
4,2012-05-31,-58.7838311446484,EIRE,22114
5,2012-06-30,-45.29423338820516,EIRE,22114
0,2012-01-31,50.27899034738661,EIRE,22138
1,2012-02-29,66.43471527545866,EIRE,22138
2,2012-03-31,51.81100257489135,EIRE,22138
3,2012-04-30,66.8506398265101,EIRE,22138
4,2012-05-31,42.279997881337884,EIRE,22138
5,2012-06-30,96.01885915410227,EIRE,22138
0,2012-01-31,45.07797519830657,EIRE,22139
1,2012-02-29,9.187024451400205,EIRE,22139
2,2012-03-31,38.21647133874835,EIRE,22139
3,2012-04-30,23.70602195217988,EIRE,22139
4,2012-05-31,23.07437728423391,EIRE,22139
5,2012-06-30,60.002872467907444,EIRE,22139
0,2012-01-31,-0.7296267852387075,EIRE,22169
1,2012-02-29,33.573852111042925,EIRE,22169
2,2012-03-31,29.557133736302237,EIRE,22169
3,2012-04-30,21.17873884722244,EIRE,22169
4,2012-05-31,42.54267059089532,EIRE,22169
5,2012-06-30,39.15609422149608,EIRE,22169
0,2012-01-31,8.487576788982215,EIRE,22171
1,2012-02-29,25.490876526261985,EIRE,22171
2,2012-03-31,8.495376740463882,EIRE,22171
3,2012-04-30,8.49825232766158,EIRE,22171
4,2012-05-31,8.499777553458477,EIRE,22171
5,2012-06-30,8.502835886529956,EIRE,22171
0,2011-12-31,17.46339818204629,EIRE,22186
1,2012-01-31,-0.06692759577060414,EIRE,22186
2,2012-02-29,-0.06598671565789083,EIRE,22186
3,2012-03-31,-0.04368460683357611,EIRE,22186
4,2012-04-30,0.02582078593449566,EIRE,22186
5,2012-05-31,0.060462129747177684,EIRE,22186
0,2011-12-31,21.968243328036408,EIRE,22195
1,2012-01-31,2.5092475862611234,EIRE,22195
2,2012-02-29,32.54970091208482,EIRE,22195
3,2012-03-31,3.190139663679476,EIRE,22195
4,2012-04-30,33.23026757706005,EIRE,22195
5,2012-05-31,9.645910473694421,EIRE,22195
0,2011-12-31,22.534215866148788,EIRE,22197
1,2012-01-31,6.8898575089589364,EIRE,22197
2,2012-02-29,6.545187869923769,EIRE,22197
3,2012-03-31,26.600029244908853,EIRE,22197
4,2012-04-30,31.35563943998869,EIRE,22197
5,2012-05-31,15.711146728079406,EIRE,22197
0,2012-01-31,7.211008187321321,EIRE,22269
1,2012-02-29,2.199893299583083,EIRE,22269
2,2012-03-31,2.1889048619359714,EIRE,22269
3,2012-04-30,12.177366174761014,EIRE,22269
4,2012-05-31,2.166510705507965,EIRE,22269
5,2012-06-30,2.1555249379916686,EIRE,22269
0,2012-01-31,-0.0003804087187972982,EIRE,22278
1,2012-02-29,9.898108767963171,EIRE,22278
2,2012-03-31,-0.00046040598813412714,EIRE,22278
3,2012-04-30,-0.00017878906601076494,EIRE,22278
4,2012-05-31,7.426267861082173,EIRE,22278
5,2012-06-30,14.851340868733534,EIRE,22278
0,2012-01-31,21.781663537810132,EIRE,22283
1,2012-02-29,22.286386801355647,EIRE,22283
2,2012-03-31,22.847377286336716,EIRE,22283
3,2012-04-30,7.614400269931885,EIRE,22283
4,2012-05-31,16.02809712294464,EIRE,22283
5,2012-06-30,64.44531857073434,EIRE,22283
0,2011-12-31,9.89994734780662,EIRE,22310
1,2012-01-31,1.0732114877676224e-05,EIRE,22310
2,2012-02-29,1.5787108347709022e-05,EIRE,22310
3,2012-03-31,-2.0276435079402688e-05,EIRE,22310
4,2012-04-30,-1.0827541619740089e-05,EIRE,22310
5,2012-05-31,-2.277350221469021e-05,EIRE,22310
0,2012-01-31,0.0051964020452412996,EIRE,22312
1,2012-02-29,35.41243735080172,EIRE,22312
2,2012-03-31,-0.011125243125404083,EIRE,22312
3,2012-04-30,-0.015362060676141098,EIRE,22312
4,2012-05-31,-0.01654240422526776,EIRE,22312
5,2012-06-30,14.846341042035588,EIRE,22312
0,2011-12-31,8.851292947331162,EIRE,22318
1,2012-01-31,0.0006058484476660908,EIRE,22318
2,2012-02-29,8.84998900213876,EIRE,22318
3,2012-03-31,17.700267982492942,EIRE,22318
4,2012-04-30,8.849732347802766,EIRE,22318
5,2012-05-31,17.700245604202607,EIRE,22318
0,2011-12-31,15.299825985534738,EIRE,22348
1,2012-01-31,10.199911498656222,EIRE,22348
2,2012-02-29,-6.879979245066892e-05,EIRE,22348
3,2012-03-31,3.7672817811085224e-05,EIRE,22348
4,2012-04-30,4.7277914404730836e-05,EIRE,22348
5,2012-05-31,0.00010148187526581864,EIRE,22348
0,2012-01-31,27.18243276059876,EIRE,48129
1,2012-02-29,47.13950253023424,EIRE,48129
2,2012-03-31,41.48041879586042,EIRE,48129
3,2012-04-30,38.45731695066266,EIRE,48129
4,2012-05-31,110.13916763632969,EIRE,48129
5,2012-06-30,82.98667009680844,EIRE,48129
0,2012-01-31,6.852326758414277,EIRE,48184
1,2012-02-29,-4.199949610697097,EIRE,48184
2,2012-03-31,19.08886312081786,EIRE,48184
3,2012-04-30,75.9336692291689,EIRE,48184
4,2012-05-31,77.62093675485629,EIRE,48184
5,2012-06-30,7.892615685664307,EIRE,48184
0,2012-01-31,42.98123329231725,EIRE,48187
1,2012-02-29,41.625377669991764,EIRE,48187
2,2012-03-31,78.7505615561538,EIRE,48187
3,2012-04-30,61.09756310335129,EIRE,48187
4,2012-05-31,123.19420475198166,EIRE,48187
5,2012-06-30,38.5067593424032,EIRE,48187
0,2012-01-31,44.44843744487859,EIRE,48194
1,2012-02-29,7.951739543035229,EIRE,48194
2,2012-03-31,7.9516852515270955,EIRE,48194
3,2012-04-30,0.0006761519309890218,EIRE,48194
4,2012-05-31,7.4898020397188,EIRE,48194
5,2012-06-30,22.931217817249397,EIRE,48194
0,2011-12-31,19.800008067475673,EIRE,79321
1,2012-01-31,6.16824671872962e-06,EIRE,79321
2,2012-02-29,1.8372534439592414e-05,EIRE,79321
3,2012-03-31,1.3204132187638606e-06,EIRE,79321
4,2012-04-30,9.900017924679716,EIRE,79321
5,2012-05-31,51.10003432398108,EIRE,79321
0,2011-12-31,3.300093589850106,EIRE,82581
1,2012-01-31,7.174903448303738e-05,EIRE,82581
2,2012-02-29,1.6500858272051773,EIRE,82581
